Report ID,E25-00-8888_EALP1_1,,,
Client Sample ID:,,,,Demo
Sample Depth:,,,,50-250mm
Crop ID:,,,,Ginger
Sample Date:,,,,10 June 2024
Sampled By:,,,,Franz Hentze
Your Client:,,,,John Smith 
EAL Sample ID: ,,,,E25-00-8888-0001
Parameter,Unit,Method Reference,LOR,---
Soluble Calcium,mg/kg,** Inhouse S10 - Morgan,<10,4540
Soluble Magnesium,mg/kg,** Inhouse S10 - Morgan,<1,757
Soluble Potassium,mg/kg,** Inhouse S10 - Morgan,<25,418
Soluble Phosphorus,mg/kg,** Inhouse S10 - Morgan,<1,4.9
Nitrate-N - KCl extractable,mg/kg,** Inhouse S37,<0.1,7.7
Ammonium-N - KCl extractable,mg/kg,** Inhouse S37,<0.1,3.7
Mehlich Phosphorus,mg/kg,** Rayment & Lyons 2011 - 18F1 (Mehlich 3),<0.1,15.2
Phosphorus - Bray 2,mg/kg,** Inhouse S3A,<1,21
Sulfur - KCl extractable,mg/kg,** Inhouse S37,<1,22
pH (H2O),units,Rayment & Lyons 2011 - 4A1,---,8.06
Electrical Conductivity,dS/m,Rayment & Lyons 2011 - 3A1,<0.005,0.297
Exchangeable Calcium,cmol+/kg,** Rayment & Lyons 2011 - 18F1 (Mehlich 3),<0.05,18.0
Exchangeable Calcium,kg/ha,** Rayment & Lyons 2011 - 18F1 (Mehlich 3),<22,8100
Exchangeable Calcium,mg/kg,** Rayment & Lyons 2011 - 18F1 (Mehlich 3),<10,3620
Exchangeable Magnesium,cmol+/kg,** Rayment & Lyons 2011 - 18F1 (Mehlich 3),<0.01,6.55
Exchangeable Magnesium,kg/ha,** Rayment & Lyons 2011 - 18F1 (Mehlich 3),<2,1780
Exchangeable Magnesium,mg/kg,** Rayment & Lyons 2011 - 18F1 (Mehlich 3),<1,797
Exchangeable Potassium,cmol+/kg,** Rayment & Lyons 2011 - 18F1 (Mehlich 3),<0.12,1.47
Exchangeable Potassium,kg/ha,** Rayment & Lyons 2011 - 18F1 (Mehlich 3),<112,1290
Exchangeable Potassium,mg/kg,** Rayment & Lyons 2011 - 18F1 (Mehlich 3),<50,575
Exchangeable Sodium,cmol+/kg,** Rayment & Lyons 2011 - 18F1 (Mehlich 3),<0.065,0.78
Exchangeable Sodium,kg/ha,** Rayment & Lyons 2011 - 18F1 (Mehlich 3),<33,402
Exchangeable Sodium,mg/kg,** Rayment & Lyons 2011 - 18F1 (Mehlich 3),<15,179
Aluminium - Exchangeable,cmol+/kg,** Calculations,<0.01,0.08
Aluminium - Exchangeable,kg/ha,** Calculations,<1,15
Aluminium - Exchangeable,mg/kg,** Calculations,<1,6.9
Calcium,%,** Calculation,<0.01,67
Magnesium,%,** Calculation,<0.01,24
Potassium,%,** Calculation,<0.01,5.5
Sodium - ESP,%,** Calculation,<0.01,2.9
Hydrogen,%,** Calculation,---,0.0
Other Bases,%,** Calculation,<0.01,0.3
Calcium/Magnesium Ratio,Ratio,** Calculation,<0.01,2.8
"Cation Exchange Capacity (Ca, Mg, K, Na)",cmol+/kg,** Calculation,---,26.8
Total Cation Exchange Capacity,cmol+/kg,** Calculation,---,26.9
Zinc - DTPA,mg/kg,Rayment & Lyons 2011 - 12A1,<0.5,27.1
Manganese - DTPA,mg/kg,Rayment & Lyons 2011 - 12A1,<0.1,10.4
Iron - DTPA,mg/kg,Rayment & Lyons 2011 - 12A1,<0.5,28.8
Copper - DTPA,mg/kg,Rayment & Lyons 2011 - 12A1,<0.1,10.5
Boron - CaCl2 extractable,mg/kg,** Rayment & Lyons 2011 - 12C2,<0.1,2.6
Silicon - CaCl2 extractable,mg/kg,** Inhouse S11,<1,42
Carbon - Total,%,Inhouse S4a,<0.03,3.40
Nitrogen - Total,%,Inhouse S4a,<0.02,0.26
Carbon : Nitrogen Ratio,Ratio,Inhouse S4a,<1,13.2
Estimated Organic Matter,%,Inhouse S4a,<0.04,5.95
Paramagnetism,µCGS,** Paramagnetic Count Soil Meter,---,230
Basic Texture,---,** Inhouse S65,---,Loam
Basic Colour,---,** Inhouse S65,---,Brownish
